date,avg_duration_minutes
2019-10-01,8.651724272450648
2019-10-02,8.152209395746125
2019-10-03,8.451832115742718
2019-10-04,8.372829657437773
2019-10-05,8.828293054648379
2019-10-06,9.004658429200397
2019-10-07,8.592261706150607
2019-10-08,8.590906156701333
2019-10-09,8.535829471230745
2019-10-10,8.417836282303305
2019-10-11,7.930008135041716
2019-10-12,8.338459142999474
2019-10-13,8.711818475974795
2019-10-14,8.299684052506654
2019-10-15,8.250323162729638
2019-10-16,8.152403039573654
2019-10-17,8.209101880081299
2019-10-18,8.360929364377665
2019-10-19,9.05810178940741
2019-10-20,8.657536231884054
2019-10-21,8.281596301208388
2019-10-22,8.035672481920493
2019-10-23,8.277729999999968
2019-10-24,8.085233081169472
2019-10-25,8.161055853098718
2019-10-26,7.898620736513107
2019-10-27,8.777583380619145
2019-10-28,8.191243342516085
2019-10-29,8.040064620355379
2019-10-30,8.043755689058788
2019-10-31,7.832585949177892
2019-11-01,8.07274590163936
2019-11-02,7.984829749103943
2019-11-03,8.24838261007789
2019-11-04,8.269563459983825
2019-11-05,8.053537812398556
2019-11-06,8.019760694620913
2019-11-07,7.804784096893076
2019-11-08,7.790926811979439
2019-11-09,8.258859507105598
2019-11-10,8.153267003267013
2019-11-11,8.538482989403228
2019-11-12,8.219837204007296
2019-11-13,8.094431839667239
2019-11-14,7.98452406570548
2019-11-15,8.05669032597265
2019-11-16,8.197643752702108
2019-11-17,7.887907904278474
2019-11-18,8.083461057241148
2019-11-19,7.963818171990717
2019-11-20,8.06372601517177
2019-11-21,8.046653364774183
2019-11-22,7.888045571245199
2019-11-23,7.933125
2019-11-24,8.11441077441078
2019-11-25,8.088288162428986
2019-11-26,7.939155010538404
2019-11-27,7.533772883813654
2019-11-28,7.749969049829776
2019-11-29,8.261810254097126
2019-11-30,7.591933716789919
2019-12-01,7.633189081225026
2019-12-02,7.894999999999984
2019-12-03,7.954380191192626
2019-12-04,8.005633487539189
2019-12-05,8.01535731076635
2019-12-06,7.820051865484341
2019-12-07,7.806382758263392
2019-12-08,7.821866666666664
2019-12-09,7.973267871625568
2019-12-10,7.678723251472085
2019-12-11,7.877988782051277
2019-12-12,7.88255603759939
2019-12-13,8.023165443629104
2019-12-14,7.827815720105461
2019-12-15,7.589490196078436
2019-12-16,7.841928742720112
2019-12-17,7.8243874475890935
2019-12-18,7.638785428408088
2019-12-19,7.85808038517898
2019-12-20,7.957514738262672
2019-12-21,8.29920433996384
2019-12-22,8.465131837859088
2019-12-23,8.017733082411965
2019-12-24,7.968641750227898
2019-12-25,8.969532348804515
2019-12-26,8.484232121922611
2019-12-27,7.902469135802489
2019-12-28,7.986989972337481
2019-12-29,8.427682725499015
2019-12-30,7.639797027908663
2019-12-31,7.69905450500556
